customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4818-DRBQT,Female,0,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,One year,No,Electronic check,102.22,7382.85,No
0670-ANMUU,Female,0,Yes,Yes,68,No,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),46.07,2044.95,No
4554-YGZIH,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,83.17,2423.4,No
8070-AAWZP,Female,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.25,4309.55,No
1004-NOZNR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,93.56,5597.65,No
3750-YHRYO,Female,0,Yes,Yes,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,69.99,1194.3,Yes
9068-FHQHD,Male,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.44,1745.2,No
4730-AWNAU,Female,0,No,No,5,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.32,1901.65,Yes
1302-UHBDD,Female,0,No,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.79,5483.9,No
7892-POOKP,Female,0,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,51.19,326.8,No
1779-PWPMG,Female,0,No,No,65,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,41.58,857.25,No
9777-WJJPR,Female,0,Yes,No,52,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),68.25,4735.35,No
7746-QYVCO,Female,0,Yes,Yes,54,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),42.09,4528,No
5614-DNZCE,Female,0,Yes,No,51,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,43.09,1647,No
8190-ZTQFB,Female,0,Yes,Yes,42,No,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,29.47,3270.25,No
7161-DFHUF,Female,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.25,764.95,No
9750-BOOHV,Female,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,40.51,2514.5,No
8080-POTJR,Male,0,No,No,12,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),38.55, ,No
3378-AJRAO,Female,0,Yes,Yes,66,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,88.19,223.45,No
6134-KWTBV,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),84.35,4475.9,No
7562-UXTPG,Male,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.08,20.2,No
0410-IPFTY,Female,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),51.59,1379.6,No
9975-SKRNR,Female,0,No,No,61,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,80.78,125.95,Yes
5628-RKIFK,Female,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,42.94,2937.65,No
0883-EIBTI,Female,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,75.18,389.25,Yes
8620-RJPZN,Male,0,Yes,No,42,No,No phone service,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),48.96,1073.3,No
2091-MJTFX,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,83.13,201.95,Yes
5950-AAAGJ,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),65.98,892.65,No
3778-FOAQW,Female,0,No,No,14,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,48.9,20.9,No
4026-SKKHW,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.43,475.7,Yes
8481-YYXWG,Male,0,Yes,No,62,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),48.39,2835.5,No
5349-AZPEW,Female,0,No,Yes,58,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,81.2,6302.8,No
7009-PCARS,Female,0,No,No,32,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),50.33,24.25,No
4302-ZYFEL,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.09,150.6,No
2969-VAPYH,Female,0,Yes,Yes,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.31,1037.75,No
8687-BAFGU,Female,0,Yes,No,42,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Credit card (automatic),85.42,2217.15,No
5134-IKDAY,Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.58,401.3,No
2135-RXIHG,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),108.25,435.4,No
2640-LYMOV,Female,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.31,244.1,No
0366-NQSHS,Male,0,Yes,Yes,17,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),74.97,152.45,No
4067-HLYQI,Female,1,Yes,Yes,21,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.78,978,Yes
9415-DPEWS,Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,73.15,1215.1,No
2805-EDJPQ,Male,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.25,5450.7,No
7239-HZZCX,Female,0,No,No,18,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,61.33,6921.7,No
1796-JANOW,Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.3,1454.15,No
2393-DIVAI,Female,0,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,68.07,2958.95,No
2452-KDRRH,Female,0,No,Yes,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.12,1887,No
7030-NJVDP,Male,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.93, ,No
6616-AALSR,Female,1,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No,No,One year,No,Electronic check,89.78,1406.9,No
9068-FHQHD,Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,76.93,1028.9,Yes
6599-CEBNN,Female,0,Yes,No,8,No,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Credit card (automatic),70.38,3582.4,No
8249-THVEC,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),84.01,2401.05,No
0080-EMYVY,Male,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),93.53,4746.05,No
5349-AZPEW,Female,0,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,69.84,391.7,No
3845-FXCYS,Female,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),47.05,80.8,No
4795-WRNVT,Female,0,Yes,No,50,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),45.32,1146.65,No
1493-AMTIE,Female,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),61.3,267.4,No
7075-BNDVQ,Female,0,No,Yes,17,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Electronic check,46.47,2621.75,No
7483-IQWIB,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.25,1430.05,No
6818-WOBHJ,Female,0,Yes,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,21.48,6416.7,No
3452-ABWRL,Male,0,Yes,No,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),86.64,86.05,No
3727-JEZTU,Female,0,Yes,No,22,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,81.1,593.2,No
9972-EWRJS,Female,0,Yes,Yes,15,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,70.32,243.65,No
4098-NAUKP,Female,0,Yes,Yes,64,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),72.73,20.7,No
5458-CQJTA,Female,0,Yes,Yes,70,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.06,58.9,No
2469-DTSGX,Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,No,Credit card (automatic),75.07,3084.9,No
4872-VXRIL,Female,0,Yes,No,14,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.44,257.05,No
1460-UZPRJ,Female,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),21.0,333.65,No
4608-LCIMN,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),25.05,1346.3,No
3898-GUYTS,Male,0,Yes,No,33,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),48.05,4086.3,No
8443-WVPSS,Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.19,7624.2,No
0895-DQHEW,Female,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.44,6786.1,No
8780-RSYYU,Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.68,4307.1,No
4873-ILOLJ,Female,0,Yes,Yes,68,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),82.45,383.65,No
3620-MWJNE,Female,0,Yes,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.46,3165.6,Yes
9907-SWKKF,Female,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.46,692.35,No
6777-TGHTM,Female,0,Yes,No,63,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,82.79,470.95,No
9392-XBGTD,Female,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),41.01,1110.05,No
2911-WDXMV,Female,0,Yes,No,3,Yes,No,DSL,No,No,No,No,No,Yes,One year,Yes,Electronic check,70.13,4264,Yes
0722-TROQR,Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),100.72,2979.3,No
0156-FVPTA,Female,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.52,901.25,No
6374-AFWOX,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),87.84,4990.25,No
7065-YUNRY,Male,0,Yes,No,16,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),83.78,2421.6,No
7337-CINUD,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),100.2,3865.45,No
2694-CIUMO,Male,0,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.25,331.35,No
7184-LRUUR,Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),95.71,3580.3,No
6199-IPCAO,Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),61.12,333.65,No
1862-QRWPE,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.99,7537.5,No
5457-COLHT,Male,0,Yes,Yes,23,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),58.56,165,No
8775-LHDJH,Male,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,76.38,1286,Yes
5651-WYIPH,Female,0,Yes,Yes,72,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),62.53,50.05,No
2014-MKGMH,Female,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.25,5265.2,No
7396-VJUZB,Male,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,109.17,49.05,No
5614-DNZCE,Male,0,Yes,No,53,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,95.15,105.5,No
4016-BJKTZ,Male,0,No,No,18,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),26.06,1648.45,No
3212-KXOCR,Female,0,Yes,Yes,53,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),83.67,5510.65,No
1575-KRZZE,Female,1,No,No,22,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.21,196.15,No
3079-BCHLN,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),80.13,125.95,No
7526-IVLYU,Female,0,Yes,No,39,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),74.74,7920.7,Yes
8992-CEUEN,Male,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),34.53,2681.15,No
2344-JMOGN,Female,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.98,6692.65,Yes
2650-GYRYL,Female,0,Yes,Yes,68,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),93.35,3580.3,No
3058-WQDRE,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),103.63,533.9,No
9426-SXNHE,Male,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,94.29,910.45,No
2961-VNFKL,Female,0,No,No,63,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,61.77,877.35,No
9469-WEJBT,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),48.37,2085.45,No
2523-EWWZL,Male,0,Yes,Yes,26,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),44.46,20.2,No
5349-AZPEW,Female,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.38,6825.65,Yes
4967-WPNCF,Female,0,No,No,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,1238.65,No
4553-DVPZG,Male,0,Yes,Yes,57,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100.68,422.7,No
5310-NOOVA,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),90.72,211.95,No
3744-ZRRDZ,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),106.27,934.8,No
3877-JRJIP,Female,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.83,8333.95,No
1057-FOGLZ,Female,0,Yes,No,14,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,34.16,498.1,No
9972-EWRJS,Male,0,No,No,65,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),47.02,840.1,No
9194-GFVOI,Male,1,No,No,12,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,80.19,5471.75,No
5628-FCGYG,Male,0,Yes,Yes,25,Yes,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,47.22,5753.25,No
9625-QNLUX,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,81.87,345.9,Yes
8224-KDLKN,Female,0,No,No,6,Yes,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,37.95,1660,No
9993-LHIEB,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),100.68,4484.05,No
4682-BLBUC,Female,0,Yes,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),81.49,1544.05,No
6618-RYATB,Male,0,Yes,Yes,12,Yes,No,DSL,No,No,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),18.39, ,No
9300-AGZNL,Female,1,Yes,No,59,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,78.98,7881.2,No
3627-FCRDW,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),105.8,2274.9,No
9391-YZEJW,Male,0,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),22.12,76.4,No
9576-SYUHJ,Male,0,Yes,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),21.94,7845.8,No
5158-RIVOP,Female,0,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.25,3211.2,No
6376-GAHQE,Female,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.82,837.5,No
9499-XPZXM,Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,84.93,358.05,Yes
0537-QYZZN,Female,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),75.09,252,No
8007-YYPWD,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,633.4,Yes
2294-DMMUS,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.25,7168.25,No
4951-UKAAQ,Female,0,No,No,34,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Credit card (automatic),76.3,2347.85,No
8443-WVPSS,Male,0,Yes,Yes,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),77.36,101.45,No
0526-SXDJP,Female,0,No,No,16,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),43.28,927.35,No
8665-UTDHZ,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.28,857.25,No
3197-NNYNB,Male,0,No,No,37,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),74.04,1299.1,No
4531-AUZNK,Female,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),22.3,970.45,No
2761-XECQW,Male,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.24,1871.85,No
2560-QTSBS,Male,0,No,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Credit card (automatic),70.91,7156.2,No
4572-DVCGN,Female,0,Yes,No,46,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.86,7303.05,No
7760-OYPDY,Male,1,No,No,10,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),27.81,5515.45,No
4250-WAROZ,Female,1,No,No,20,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,83.9,61.7,No
7480-QNVZJ,Female,0,Yes,No,55,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),76.66,4620.4,No
2530-FMFXO,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),76.53,7288.4,No
8434-PNQZX,Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.25,4822.85,No
2969-VAPYH,Male,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.18,3124.5,No
9027-YFHQJ,Male,0,No,Yes,5,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,38.66,3580.3,No
4789-KWMXN,Female,0,Yes,Yes,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,78.26,2434.45,No
4872-VXRIL,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.75,4830.25,No
2848-YXSMW,Male,0,Yes,No,54,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,98.25,3650.35,No
9680-NIAUV,Female,0,Yes,No,41,Yes,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,42.78,1288.75,No
1320-HTRDR,Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Electronic check,58.16, ,No
5208-FVQKB,Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),78.25,2781.85,No
1194-BHJYC,Female,0,No,No,14,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,89.69,2156.25,No
2868-LLSKM,Female,0,No,Yes,46,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,27.17,6237.05,Yes
8800-ZKRFW,Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,158.95,No
3605-JISKB,Female,0,Yes,Yes,29,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),79.89,1172.95,No
